From	To	Species	Gene Name
A7KAL2	8305112	Penicillium rubens Wisconsin 54-1255	Pc18g03490(Pc18g03490)
Q7VTA1	2664889	Bordetella pertussis Tohama I	GTP-binding protein EngB(engB)
Q9UGH3	9962	Homo sapiens	solute carrier family 23 member 2(SLC23A2)
P33324	853771	Saccharomyces cerevisiae S288c	phosphatidylinositol/phosphatidylcholine-binding protein(YKL091C)
Q58CS8	508713	Bos taurus	N-acetylglucosamine-1-phosphate transferase gamma subunit(GNPTG)
D0PRN3	423385	Gallus gallus	neurexin 3(NRXN3)
Q2NEX3	3855819	Methanosphaera stadtmanae DSM 3091	50S ribosomal protein L37(rpl37ae)
Q8TCY0	102723553	Homo sapiens	small integral membrane protein 11B(SMIM11B)
B4G0F3	100282341	Zea mays	uncharacterized LOC100282341(IDP388)
Q980B1	1455543	Sulfolobus solfataricus P2	cobyrinic acid a,c-diamide synthase(SSO_RS02030)
P28191	175463	Caenorhabditis elegans	Tyrosine-protein phosphatase 1(ptp-1)
P28190	282133	Bos taurus	adenosine A1 receptor(ADORA1)
B3NY03	6551558	Drosophila erecta	GG17592 gene product from transcript GG17592-RB(Dere\GG17592)
Q4I963	23553381	Fusarium graminearum PH-1	hypothetical protein(FGSG_06245)
P60368	386679	Homo sapiens	keratin associated protein 10-2(KRTAP10-2)
O34909	939337	Bacillus subtilis subsp. subtilis str. 168	adenine deaminase YerA(yerA)
E2R0A5	476379	Canis lupus familiaris	transmembrane protein 190(TMEM190)
Q9XWV2	176698	Caenorhabditis elegans	Putative phospholipase B-like 1(Y37D8A.2)
Q0VGY8	66860	Mus musculus	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1(Tanc1)
Q9VLN1	34153	Drosophila melanogaster	WD repeat domain 82(Wdr82)
Q9XWV5	189618	Caenorhabditis elegans	Probable 28S ribosomal protein S10, mitochondrial(mrps-10)
P28163	373441	Strongylocentrotus purpuratus	SM30-alpha protein(SM30A)
Q3UHK1	239606	Mus musculus	solute carrier family 2 (facilitated glucose transporter), member 13(Slc2a13)
Q58D34	507058	Bos taurus	peptidase inhibitor 16(PI16)
Q5UY54	3129272	Haloarcula marismortui ATCC 43049	hypothetical protein(RR_RS17685)
Q3UHK6	23966	Mus musculus	teneurin transmembrane protein 4(Tenm4)
Q3UHK8	233833	Mus musculus	trinucleotide repeat containing 6a(Tnrc6a)
Q58D20	509793	Bos taurus	notchless homolog 1(NLE1)
Q4L9V8	24247411	Staphylococcus haemolyticus JCSC1435	ornithine carbamoyltransferase(SH_RS01180)
Q87TC4	1187613	Vibrio parahaemolyticus RIMD 2210633	DNA uptake protein(VP0146)
O62146	181605	Caenorhabditis elegans	Putative phospholipase B-like 2(F09B12.3)
C0ZZC3	7712439	Rhodococcus erythropolis PR4	aspartate carbamoyltransferase(RER_RS16955)
Q8ZQQ2	1252320	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	E3 ubiquitin-protein ligase SlrP(slrP)
O34918	940108	Bacillus subtilis subsp. subtilis str. 168	expansin-YoaJ(exlX)
Q2LE78	398279	Xenopus laevis	BTB (POZ) domain containing 6 L homeolog(btbd6.L)
P28173	422743	Gallus gallus	phosphoribosyl pyrophosphate amidotransferase(PPAT)
Q9A2H5	943222	Caulobacter crescentus CB15	integration host factor subunit beta(CC_3586)
Q6R648	100861173	Capra hircus	keratin associated protein 11-1(KRTAP11-1)
Q58CQ9	526704	Bos taurus	vanin 1(VNN1)
O62136	172488	Caenorhabditis elegans	Innexin-14(inx-14)
Q753C5	4622210	Eremothecium gossypii ATCC 10895	AFR391Wp(AGOS_AFR391W)
Q9UGM3	1755	Homo sapiens	deleted in malignant brain tumors 1(DMBT1)
P33381	987042	Listeria monocytogenes EGD-e	lmo0209(lmo0209)
Q9UGM6	10352	Homo sapiens	tryptophanyl tRNA synthetase 2, mitochondrial(WARS2)
Q58CP0	614145	Bos taurus	isocitrate dehydrogenase 3 (NAD(+)) gamma(IDH3G)
Q0S3H4	4223686	Rhodococcus jostii RHA1	50S ribosomal protein L23(RHA1_RS29980)
B4I3R2	6613849	Drosophila sechellia	GM10768 gene product from transcript GM10768-RA(Dsec\GM10768)
Q6R653	76589	Mus musculus	unc-5 family C-terminal like(Unc5cl)
Q0VGW4	398673	Xenopus laevis	endoplasmic reticulum metallopeptidase 1 L homeolog(ermp1.L)
O34921	935941	Bacillus subtilis subsp. subtilis str. 168	hypothetical protein(ytoI)
Q795K2	937702	Bacillus subtilis subsp. subtilis str. 168	two-component sensor histidine kinase YvfU(yvfT)
Q0VGW6	779157	Xenopus laevis	solute carrier family 12, member 9 L homeolog(slc12a9.L)
O34924	937301	Bacillus subtilis subsp. subtilis str. 168	aminopeptidase YtoP(ytoP)
Q9NEW6	176688	Caenorhabditis elegans	Probable splicing factor, arginine/serine-rich 3(rsp-3)
A8A9J7	5563176	Ignicoccus hospitalis KIN4/I	hypothetical protein(IGNI_RS02155)
Q58D15	535320	Bos taurus	tripartite motif containing 54(TRIM54)
P33379	987035	Listeria monocytogenes EGD-e	actin-assembly inducing protein precursor(actA)
O62126	183942	Caenorhabditis elegans	Transmembrane protein 41 homolog(tag-175)
P60330	105988	Mus musculus	extra spindle pole bodies 1, separase(Espl1)
Q0S3G0	4223700	Rhodococcus jostii RHA1	50S ribosomal protein L18(RHA1_RS30050)
Q038I4	4420077	Lactobacillus paracasei ATCC 334	glycerol-3-phosphate acyltransferase PlsX(LSEI_1614)
P60335	23983	Mus musculus	poly(rC) binding protein 1(Pcbp1)
Q8ZQN7	1252341	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	ATP-dependent DNA helicase DinG(dinG)
F1MIW6	768067	Bos taurus	chromosome 1 C21orf140 homolog(C1H21orf140)
O34939	939892	Bacillus subtilis subsp. subtilis str. 168	BsuMI modification methylase subunit YdiO(ydiO)
Q9VLK2	34183	Drosophila melanogaster	CG13096 gene product from transcript CG13096-RB(CG13096)
Q58D06	505875	Bos taurus	WD repeat domain 74(WDR74)
P28159	34881	Drosophila melanogaster	Suppressor of Hairless(Su(H))
Q58D05	512642	Bos taurus	TRAF-type zinc finger domain containing 1(TRAFD1)
Q9UGM1	55584	Homo sapiens	cholinergic receptor nicotinic alpha 9 subunit(CHRNA9)
Q2PG46	102130743	Macaca fascicularis	transcription factor B1, mitochondrial(TFB1M)
Q2PG45	102128548	Macaca fascicularis	thromboxane A synthase 1(TBXAS1)
Q4I9B7	23553329	Fusarium graminearum PH-1	hypothetical protein(FGSG_06191)
Q87TH0	1187566	Vibrio parahaemolyticus RIMD 2210633	sec-independent translocase(VP0099)
Q8TDC3	84446	Homo sapiens	BR serine/threonine kinase 1(BRSK1)
Q658L1	283726	Homo sapiens	stabilizer of axonemal microtubules 2(SAXO2)
Q80U62	100502698	Mus musculus	RUN domain and cysteine-rich domain containing, Beclin 1-interacting protein(Rubcn)
Q80U63	170731	Mus musculus	mitofusin 2(Mfn2)
Q9VLS1	34114	Drosophila melanogaster	CG8475 gene product from transcript CG8475-RC(CG8475)
P02639	431787	Bos taurus	S100 calcium binding protein A1(S100a1)
Q9BRR0	80317	Homo sapiens	zinc finger with KRAB and SCAN domains 3(ZKSCAN3)
Q9BRR3	84302	Homo sapiens	transmembrane protein 246(TMEM246)
Q8ZQC8	1252490	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	secreted effector protein SopD2(STM0972)
Q6R5N8	279572	Mus musculus	toll-like receptor 13(Tlr13)
P02632	397265	Sus scrofa	S100 calcium binding protein G(S100G)
Q9BRR6	83440	Homo sapiens	ADP dependent glucokinase(ADPGK)
Q9BRR8	55094	Homo sapiens	G-patch domain containing 1(GPATCH1)
Q9BRR9	64333	Homo sapiens	Rho GTPase activating protein 9(ARHGAP9)
Q753L2	4622110	Eremothecium gossypii ATCC 10895	AFR300Cp(AGOS_AFR300C)
Q8TDD1	79039	Homo sapiens	DEAD-box helicase 54(DDX54)
A7YWD2	523399	Bos taurus	importin 13(IPO13)
Q80TT2	545192	Mus musculus	BAI1-associated protein 3(Baiap3)
Q8TDD5	55283	Homo sapiens	mucolipin 3(MCOLN3)
Q3UHX9	227695	Mus musculus	SPOUT domain containing methyltransferase 1(Spout1)
Q80TT8	78309	Mus musculus	cullin 9(Cul9)
Q80U56	78937	Mus musculus	AVL9 homolog (S. cerevisiase)(Avl9)
Q80U59	320661	Mus musculus	DNA segment, Chr 5, ERATO Doi 579, expressed(D5Ertd579e)
Q3UHX0	70930	Mus musculus	nucleolar protein 8(Nol8)
P02640	396423	Gallus gallus	villin 1(VIL1)
Q753L9	4622103	Eremothecium gossypii ATCC 10895	AFR293Cp(AGOS_AFR293C)
Q4L9R6	24246717	Staphylococcus haemolyticus JCSC1435	drp35(SH_RS01385)
P89029	912080	Orgyia pseudotsugata multiple nucleopolyhedrovirus	p25(OpmnVgp148)
Q03900	851710	Saccharomyces cerevisiae S288c	hypothetical protein(YDR132C)
Q9BS26	23071	Homo sapiens	endoplasmic reticulum protein 44(ERP44)
A7KAU2	100125995	Oryctolagus cuniculus	MATE1(LOC100125995)
Q6R5P0	239081	Mus musculus	toll-like receptor 11(Tlr11)
Q87TJ1	1187545	Vibrio parahaemolyticus RIMD 2210633	universal stress protein UspB(VP0078)
P31038	883752	Rickettsia prowazekii str. Madrid E	succinate dehydrogenase flavoprotein subunit(sdhA)
Q70J99	201294	Homo sapiens	unc-13 homolog D(UNC13D)
F4HXY7	838074	Arabidopsis thaliana	phosphatidyl serine synthase family protein(PSS1)
Q9VLP7	34138	Drosophila melanogaster	CG7818 gene product from transcript CG7818-RA(CG7818)
Q29L39	4816331	Drosophila pseudoobscura pseudoobscura	GA13010 gene product from transcript GA13010-RA(Dpse\GA13010)
Q9BS16	64105	Homo sapiens	centromere protein K(CENPK)
Q9A2L1	943731	Caulobacter crescentus CB15	4-hydroxy-tetrahydrodipicolinate reductase(CC_3550)
Q9BRP0	58495	Homo sapiens	ovo like zinc finger 2(OVOL2)
Q9BRP1	84306	Homo sapiens	programmed cell death 2 like(PDCD2L)
Q0VGK4	303407	Rattus norvegicus	glycerophosphodiester phosphodiesterase domain containing 1(Gdpd1)
Q9PQ33	876345	Ureaplasma parvum serovar 3 str. ATCC 700970	phenylalanine--tRNA ligase subunit beta(UU_RS02390)
P02672	522039	Bos taurus	fibrinogen alpha chain(FGA)
P02671	2243	Homo sapiens	fibrinogen alpha chain(FGA)
A4IIW9	100101739	Xenopus tropicalis	leucine rich repeat and Ig domain containing 1(lingo1)
A5DDN0	5128262	Meyerozyma guilliermondii ATCC 6260	hypothetical protein(PGUG_01381)
A4IIW5	100125074	Xenopus tropicalis	GSK3B interacting protein(gskip)
Q753N1	4622091	Eremothecium gossypii ATCC 10895	AFR281Cp(AGOS_AFR281C)
P31026	1020031	Corynebacterium glutamicum ATCC 13032	glutamate dehydrogenase(NCgl1999)
Q8TDB6	151636	Homo sapiens	deltex E3 ubiquitin ligase 3L(DTX3L)
Q9VM08	117496	Drosophila melanogaster	Gustatory receptor 28b(Gr28b)
B5DK35	6902745	Drosophila pseudoobscura pseudoobscura	GA29083 gene product from transcript GA29083-RC(Dpse\GA29083)
Q9NEZ7	260219	Caenorhabditis elegans	Bardet-Biedl syndrome 1 protein homolog(bbs-1)
B7VNJ8	7160984	Vibrio tasmaniensis LGP32	ribosomal RNA small subunit methyltransferase F(yebU)
Q29L43	4816705	Drosophila pseudoobscura pseudoobscura	GA16450 gene product from transcript GA16450-RA(Dpse\GA16450)
P31030	100009147	Oryctolagus cuniculus	alanine-glyoxylate aminotransferase(AGXT)
A4X3E5	5057362	Salinispora tropica CNB-440	peptide methionine sulfoxide reductase MsrA(STROP_RS04655)
Q5SWK7	74315	Mus musculus	ring finger protein 145(Rnf145)
Q038M0	4419988	Lactobacillus paracasei ATCC 334	DNA polymerase III PolC(polC)
P02667	114595	Rattus norvegicus	casein alpha s2-like A(Csn1s2a)
P33316	1854	Homo sapiens	deoxyuridine triphosphatase(DUT)
Q29L50	4816464	Drosophila pseudoobscura pseudoobscura	GA14249 gene product from transcript GA14249-RC(Dpse\GA14249)
Q2PFW9	102134094	Macaca fascicularis	NOVA alternative splicing regulator 1(NOVA1)
P33310	850885	Saccharomyces cerevisiae S288c	ATP-binding cassette permease MDL1(MDL1)
Q8TDG4	113510	Homo sapiens	helicase, POLQ-like(HELQ)
P33312	852450	Saccharomyces cerevisiae S288c	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase(RIB7)
Q6R5J1	405793	Danio rerio	dispatched homolog 2 (Drosophila)(disp2)
Q80TY5	666173	Mus musculus	vacuolar protein sorting 13B(Vps13b)
Q6R5J2	619201	Danio rerio	dispatched homolog 1 (Drosophila)(disp1)
Q2NFD4	3856077	Methanosphaera stadtmanae DSM 3091	endonuclease(MSP_RS05380)
Q2NFD9	3856072	Methanosphaera stadtmanae DSM 3091	mRNA surveillance protein Pelota(MSP_RS05355)
Q03936	168374	Homo sapiens	zinc finger protein 92(ZNF92)
Q29KT5	4816598	Drosophila pseudoobscura pseudoobscura	GA10053 gene product from transcript GA10053-RD(Dpse\GA10053)
Q03938	7643	Homo sapiens	zinc finger protein 90(ZNF90)
O18023	178199	Caenorhabditis elegans	Ig-like and fibronectin type-III domain-containing protein 2(igdb-2)
Q6IMT0	835031	Arabidopsis thaliana	SABRE-like protein(AT5G49680)
Q6IMT1	842193	Arabidopsis thaliana	HYPERSENSITIVE TO PI STARVATION 4(SAB)
Q8CMK8	1057314	Staphylococcus epidermidis ATCC 12228	lipoprotein(SE1689)
Q80U96	85252	Rattus norvegicus	exportin 1(Xpo1)
Q80U95	100763	Mus musculus	ubiquitin protein ligase E3C(Ube3c)
Q8CMK4	1055953	Staphylococcus epidermidis ATCC 12228	lipoprotein(SE2008)
P33309	855731	Saccharomyces cerevisiae S288c	ribosome dissociation factor DOM34(DOM34)
Q80U93	227720	Mus musculus	nucleoporin 214(Nup214)
Q03942	851779	Saccharomyces cerevisiae S288c	protein-lysine N-methyltransferase(RKM2)
A4IIY1	100124307	Xenopus tropicalis	ring finger protein 144A(rnf144a)
Q8TDI0	26038	Homo sapiens	chromodomain helicase DNA binding protein 5(CHD5)
Q58CY8	783765	Bos taurus	tetraspanin 18(TSPAN18)
Q9C469	3361180	Schizosaccharomyces pombe 972h-	transcription factor Grt1 (predicted)(grt1)
B3M011	6501630	Drosophila ananassae	GF18865 gene product from transcript GF18865-RA(Dana\GF18865)
Q9VLV7	34077	Drosophila melanogaster	spatzle 3(spz3)
O18016	3565301	Caenorhabditis elegans	Ig-like and fibronectin type-III domain-containing protein 1(igdb-1)
Q7MM75	2623998	Vibrio vulnificus YJ016	cyclic pyranopterin phosphate synthase MoaA(moaA)
Q5T8I3	284611	Homo sapiens	family with sequence similarity 102 member B(FAM102B)
Q92IQ1	927527	Rickettsia conorii str. Malish 7	elongation factor 4(RC_RS01870)
Q3UHU5	68617	Mus musculus	microtubule crosslinking factor 1(Mtcl1)
A7YWI9	507579	Bos taurus	tyrosyl-DNA phosphodiesterase 2(TDP2)
Q3UI66	68201	Mus musculus	coiled-coil domain containing 34(Ccdc34)
Q70J59	3504066	Aspergillus fumigatus Af293	tripeptidyl-peptidase (TppA)(AFUA_4G03490)
Q5N800	4327178	Oryza sativa Japonica Group	probable chlorophyll(ide) b reductase NYC1, chloroplastic(LOC4327178)
D6REC4	402160	Homo sapiens	cilia and flagella associated protein 99(CFAP99)
D3V184	8831915	Xenorhabdus bovienii SS-2004	exoribonuclease 2(XBJ1_RS09750)
Q58CX9	538585	Bos taurus	ATP/GTP binding protein like 5(AGBL5)
Q04YW0	4406620	Leptospira borgpetersenii serovar Hardjo-bovis str. L550	aspartate carbamoyltransferase(LBL_RS13040)
Q9BRT9	84296	Homo sapiens	GINS complex subunit 4(GINS4)
Q58CX2	513260	Bos taurus	FAST kinase domains 3(FASTKD3)
Q2NFF7	3854995	Methanosphaera stadtmanae DSM 3091	digeranylgeranylglycerophospholipid reductase(MSP_RS05260)
Q9VM60	33976	Drosophila melanogaster	CG3430 gene product from transcript CG3430-RA(CG3430)
Q9PQ74	876230	Ureaplasma parvum serovar 3 str. ATCC 700970	DNA polymerase III subunit alpha(dnaE)
Q7MLY4	2624096	Vibrio vulnificus YJ016	error-prone DNA polymerase(BJE04_RS06505)
Q2PFX1	102145218	Macaca fascicularis	platelet derived growth factor receptor like(PDGFRL)
Q80TZ9	68703	Mus musculus	arginine glutamic acid dipeptide (RE) repeats(Rere)
F4I9T0	842191	Arabidopsis thaliana	binding protein(AT1G58230)
Q9VLS9	34106	Drosophila melanogaster	CG12375 gene product from transcript CG12375-RA(CG12375)
Q28203	286849	Bos taurus	CD40 molecule(CD40)
Q8TDF5	81832	Homo sapiens	neuropilin and tolloid like 1(NETO1)
A5DDR3	5128328	Meyerozyma guilliermondii ATCC 6260	hypothetical protein(PGUG_01414)
Q0J035	4347680	Oryza sativa Japonica Group	pantothenate kinase 2(LOC4347680)
Q6X632	237716	Mus musculus	G protein-coupled receptor 75(Gpr75)
Q8TDF6	115727	Homo sapiens	RAS guanyl releasing protein 4(RASGRP4)
Q58D84	101909195	Bos taurus	follistatin-related protein 1(LOC101909195)
Q58CW4	507439	Bos taurus	neuromedin U receptor 2(NMUR2)
Q03921	851719	Saccharomyces cerevisiae S288c	Dop1p(DOP1)
Q58CW6	509072	Bos taurus	calcium responsive transcription factor(CARF)
Q6CA87	2910662	Yarrowia lipolytica CLIB122	YALI0D04961p(YALI0D04961g)
Q9BRS2	83732	Homo sapiens	RIO kinase 1(RIOK1)
Q6IN84	79922	Homo sapiens	mitochondrial rRNA methyltransferase 1(MRM1)
Q9BS40	56925	Homo sapiens	latexin(LXN)
Q2PFX0	102144999	Macaca fascicularis	arginyltransferase 1(ATE1)
Q9VLT5	46243	Drosophila melanogaster	purity of essence(poe)
P37940	938674	Bacillus subtilis subsp. subtilis str. 168	2-oxoisovalerate dehydrogenase subunit alpha(bkdAA)
P82198	21810	Mus musculus	transforming growth factor, beta induced(Tgfbi)
Q0S467	4223443	Rhodococcus jostii RHA1	molecular chaperone HtpG(RHA1_RS28780)
Q80TL7	67074	Mus musculus	MON2 homolog, regulator of endosome to Golgi trafficking(Mon2)
P37942	938677	Bacillus subtilis subsp. subtilis str. 168	lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex(bkdB)
Q80TL1	210044	Mus musculus	adenylate cyclase 2(Adcy2)
P37946	939093	Bacillus subtilis subsp. subtilis str. 168	threonine dehydratase(ilvA)
Q9BSK0	83742	Homo sapiens	MARVEL domain containing 1(MARVELD1)
Q92JI6	928533	Rickettsia conorii str. Malish 7	ADP,ATP carrier protein 1(RC_RS00425)
Q3UIA2	70497	Mus musculus	Rho GTPase activating protein 17(Arhgap17)
Q8TDM5	171169	Homo sapiens	sperm acrosome associated 4(SPACA4)
Q03983	851760	Saccharomyces cerevisiae S288c	Nvj3p(NVJ3)
O26833	1470698	Methanothermobacter thermautotrophicus str. Delta H	hypothetical protein(MTH_RS03460)
B2B720	6195895	Podospora anserina S mat+	hypothetical protein(PODANSg8815)
Q8W034	827071	Arabidopsis thaliana	RNA-binding (RRM/RBD/RNP motifs) family protein(AT4G14300)
O30472	940030	Bacillus subtilis subsp. subtilis str. 168	hypothetical protein(yodL)
Q28105	282005	Bos taurus	protein C receptor(PROCR)
Q80TM9	64652	Mus musculus	nischarin(Nisch)
P37953	936675	Bacillus subtilis subsp. subtilis str. 168	general stress protein CsbA(csbA)
Q9XWB9	190718	Caenorhabditis elegans	BTB and MATH domain-containing protein 36(bath-36)
Q5T8D3	91452	Homo sapiens	acyl-CoA binding domain containing 5(ACBD5)
P37954	936663	Bacillus subtilis subsp. subtilis str. 168	UvrABC system protein B(uvrB)
P00451	2157	Homo sapiens	coagulation factor VIII(F8)
Q6YW51	107275892	Oryza sativa Japonica Group	cytokinin dehydrogenase 6(LOC107275892)
P37958	936406	Bacillus subtilis subsp. subtilis str. 168	adaptor protein MecA(mecA)
Q6V5K9	66758	Mus musculus	zinc finger protein 474(Zfp474)
Q03974	949673	Haemophilus influenzae Rd KW20	lipooligosaccharide biosynthesis protein(HI0550)
Q5SWD9	104662	Mus musculus	TSR1 20S rRNA accumulation(Tsr1)
O26824	1470689	Methanothermobacter thermautotrophicus str. Delta H	ATPase AAA(MTH_RS03415)
B4NAL6	6647390	Drosophila willistoni	GK11355 gene product from transcript GK11355-RA(Dwil\GK11355)
A4IIL4	100125017	Xenopus tropicalis	BRO1 domain and CAAX motif containing(brox)
Q80TN4	214063	Mus musculus	DnaJ heat shock protein family (Hsp40) member C16(Dnajc16)
Q80TN5	320150	Mus musculus	zinc finger, DHHC domain containing 17(Zdhhc17)
Q42330	841163	Arabidopsis thaliana	Scorpion toxin-like knottin superfamily protein(AT1G47540)
Q80TN7	260315	Mus musculus	neuron navigator 3(Nav3)
Q14444	4076	Homo sapiens	cell cycle associated protein 1(CAPRIN1)
Q038U3	4419897	Lactobacillus paracasei ATCC 334	glycyl-tRNA synthetase subunit beta(LSEI_1503)
Q8TDJ6	23312	Homo sapiens	Dmx like 2(DMXL2)
P00491	4860	Homo sapiens	purine nucleoside phosphorylase(PNP)
A4IJ06	100101791	Xenopus tropicalis	RAS guanyl releasing protein 1 (calcium and DAG-regulated)(rasgrp1)
C5B9W9	7961964	Edwardsiella ictaluri 93-146	hypothetical protein(NT01EI_RS07225)
O04294	827472	Arabidopsis thaliana	ARM repeat superfamily protein(MOS6)
Q9A231	940607	Caulobacter crescentus CB15	imidazole glycerol phosphate synthase subunit HisH(CC_3735)
Q03958	14976	Mus musculus	prefoldin subunit 6(Pfdn6)
Q28107	280687	Bos taurus	coagulation factor V(F5)
Q14457	8678	Homo sapiens	beclin 1(BECN1)
A8A8T2	5562862	Ignicoccus hospitalis KIN4/I	leucyl-tRNA synthetase(IGNI_RS00780)
A8A952	5562796	Ignicoccus hospitalis KIN4/I	30S ribosomal protein S27(IGNI_RS01395)
Q03956	851784	Saccharomyces cerevisiae S288c	Rav2p(RAV2)
Q6IN36	117538	Rattus norvegicus	WAS/WASL interacting protein family, member 1(Wipf1)
Q8TDI7	117532	Homo sapiens	transmembrane channel like 2(TMC2)
Q9BSI4	26277	Homo sapiens	TERF1 interacting nuclear factor 2(TINF2)
Q28113	281175	Bos taurus	fucosyltransferase 2 (secretor status included)(FUT2)
Q2RI41	3832738	Moorella thermoacetica ATCC 39073	pyruvate flavodoxin/ferredoxin oxidoreductase-like protein(Moth_1592)
Q6IMM1	402783	Gallus gallus	DnaJ (Hsp40) homolog, subfamily C, member 27(DNAJC27)
Q5SWA1	84919	Homo sapiens	protein phosphatase 1 regulatory subunit 15B(PPP1R15B)
Q9C502	840228	Arabidopsis thaliana	ENTH/ANTH/VHS superfamily protein(AT1G33340)
Q92JM8	928626	Rickettsia conorii str. Malish 7	hypothetical protein(RC_RS00215)
Q9C501	840229	Arabidopsis thaliana	Pentatricopeptide repeat (PPR) superfamily protein(AT1G33350)
