From	To	Species	Gene Name
Q9FL63	832475	Arabidopsis thaliana	Leucine-rich repeat protein kinase family protein(AT5G24100)
Q8CPG6	1057569	Staphylococcus epidermidis ATCC 12228	DNA polymerase III PolC(polC)
Q80TZ9	68703	Mus musculus	arginine glutamic acid dipeptide (RE) repeats(Rere)
Q8IZR5	146223	Homo sapiens	CKLF like MARVEL transmembrane domain containing 4(CMTM4)
Q6FNJ1	2889493	Candida glabrata CBS 138	hypothetical protein(CAGL0J11286g)
Q80T74	208439	Mus musculus	kelch-like 29(Klhl29)
P70677	12367	Mus musculus	caspase 3(Casp3)
Q63342	245961	Rattus norvegicus	dimethylglycine dehydrogenase(Dmgdh)
Q3ZCB2	767910	Bos taurus	placenta-specific 8(PLAC8)
Q57140	950022	Haemophilus influenzae Rd KW20	acylneuraminate cytidylyltransferase(neuA)
P98157	396170	Gallus gallus	low density lipoprotein receptor-related protein 1(LRP1)
Q96HJ9	100996928	Homo sapiens	C7orf55-LUC7L2 readthrough(C7orf55-LUC7L2)
Q08BI9	768182	Danio rerio	mitochondrial calcium uniporter(mcu)
P91931	34396	Drosophila melanogaster	S-adenosylmethionine decarboxylase(SamDC)
Q8WUX2	494143	Homo sapiens	ChaC cation transport regulator homolog 2(CHAC2)
O77475	37782	Drosophila melanogaster	CG4585 gene product from transcript CG4585-RA(CG4585)
Q80ZU5	74895	Mus musculus	coiled-coil domain containing 181(Ccdc181)
Q60HG7	102117863	Macaca fascicularis	cystathionine gamma-lyase(LOC102117863)
Q15075	8411	Homo sapiens	early endosome antigen 1(EEA1)
Q02975	24522	Rattus norvegicus	zinc finger protein 354A(Zfp354a)
P98160	3339	Homo sapiens	heparan sulfate proteoglycan 2(HSPG2)
Q9LYC5	825471	Arabidopsis thaliana	Thioredoxin superfamily protein(AT3G62960)
P0DMQ5	100505573	Homo sapiens	InaF motif containing 2(INAFM2)
Q96DN5	93594	Homo sapiens	TBC1 domain family member 31(TBC1D31)
Q6V0K7	294559	Rattus norvegicus	oncoprotein induced transcript 3(Oit3)
Q8Y0U6	1219755	Ralstonia solanacearum GMI1000	thymidylate synthase(RS_RS04710)
Q5T8D3	91452	Homo sapiens	acyl-CoA binding domain containing 5(ACBD5)
Q99973	7011	Homo sapiens	telomerase associated protein 1(TEP1)
E9Q349	212198	Mus musculus	WD repeat domain 25(Wdr25)
A7S1L6	5514196	Nematostella vectensis	hypothetical protein(NEMVEDRAFT_v1g205399)
Q0VEE6	627049	Mus musculus	zinc finger protein 800(Zfp800)
Q8K157	319625	Mus musculus	galactose mutarotase(Galm)
Q9DBT5	109674	Mus musculus	adenosine monophosphate deaminase 2(Ampd2)
Q15459	10291	Homo sapiens	splicing factor 3a subunit 1(SF3A1)
Q647I9	493717	Bos taurus	NLR family pyrin domain containing 5(NLRP5)
Q8BVC4	381175	Mus musculus	coiled-coil domain containing 68(Ccdc68)
Q9DAN9	75437	Mus musculus	RIKEN cDNA 1700006E09 gene(1700006E09Rik)
Q0EEE2	74675	Mus musculus	patched domain containing 3(Ptchd3)
Q94900	42350	Drosophila melanogaster	CG7535 gene product from transcript CG7535-RK(GluClalpha)
Q9VCU9	42693	Drosophila melanogaster	Dicer-1(Dcr-1)
Q9BVI0	51230	Homo sapiens	PHD finger protein 20(PHF20)
F1N9Y5	427272	Gallus gallus	spleen tyrosine kinase(SYK)
Q5BKL8	594971	Xenopus tropicalis	X-linked inhibitor of apoptosis(xiap)
Q5XH12	495093	Xenopus laevis	DEAH-box helicase 32 (putative) L homeolog(dhx32.L)
Q3TCV3	212167	Mus musculus	gamma-secretase activating protein(Gsap)
Q9KTB6	2614240	Vibrio cholerae O1 biovar El Tor str. N16961	ferrochelatase(hemH)
P18406	16007	Mus musculus	cysteine rich protein 61(Cyr61)
Q2EMV9	547253	Mus musculus	"poly (ADP-ribose) polymerase family, member 14(Parp14)"
P48602	45668	Drosophila melanogaster	Vacuolar H[+] ATPase 68kD subunit 1(Vha68-1)
Q86Z23	338761	Homo sapiens	complement C1q like 4(C1QL4)
P46630	100009152	Oryctolagus cuniculus	CD4 molecule(CD4)
Q5ZKI0	422688	Gallus gallus	calcium/calmodulin-dependent protein kinase II delta(CAMK2D)
Q63415	25507	Rattus norvegicus	proprotein convertase subtilisin/kexin type 6(Pcsk6)
P70569	25132	Rattus norvegicus	myosin Vb(Myo5b)
Q9VE51	42240	Drosophila melanogaster	Cleavage and polyadenylation specificity factor 73(Cpsf73)
Q9NUJ3	55346	Homo sapiens	t-complex 11 like 1(TCP11L1)
Q3LGD4	436806	Danio rerio	RAB11 family interacting protein 4 (class II) a(rab11fip4a)
Q17JQ7	5573001	Aedes aegypti	AAEL001935-PA(CTLH1_AEDAE)
Q3KQF4	496073	Xenopus laevis	leucine rich repeat containing 69 L homeolog(lrrc69.L)
O57429	395766	Gallus gallus	ubiquitin specific peptidase 2(USP2)
Q4FZU2	683313	Rattus norvegicus	"similar to keratin complex 2, basic, gene 6a(LOC683313)"
Q91Y63	114644	Mus musculus	"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3(Slc13a3)"
O60443	1687	Homo sapiens	"DFNA5, deafness associated tumor suppressor(DFNA5)"
P23469	5791	Homo sapiens	"protein tyrosine phosphatase, receptor type E(PTPRE)"
Q6EE31	418486	Gallus gallus	chaperonin containing TCP1 subunit 8(CCT8)
Q9WTK7	20869	Mus musculus	serine/threonine kinase 11(Stk11)
P97500	17933	Mus musculus	myelin transcription factor 1-like(Myt1l)
Q5RGB8	558035	Danio rerio	kelch-like family member 26(klhl26)
P33762	1195284	Borrelia burgdorferi B31	hypothetical protein(BB_0439)
Q6GPY0	443601	Xenopus laevis	translocase of inner mitochondrial membrane 13 homolog L homeolog(timm13.L)
Q28740	100009229	Oryctolagus cuniculus	basigin (Ok blood group)(BSG)
P68907	312607	Rattus norvegicus	PDZ domain containing RING finger 3(Pdzrn3)
P54914	1224272	Agrobacterium tumefaciens	conjugal transfer protein TrbF(trbF)
Q4WA45	3503899	Aspergillus fumigatus Af293	metalloproteinase(AFUA_4G02700)
Q05306	12813	Mus musculus	"collagen, type X, alpha 1(Col10a1)"
Q09738	2542135	Schizosaccharomyces pombe 972h-	SAGA complex ubiquitin C-terminal hydrolase Ubp8(ubp8)
P49657	32771	Drosophila melanogaster	minibrain(mnb)
P62491	8766	Homo sapiens	"RAB11A, member RAS oncogene family(RAB11A)"
Q9UI33	11280	Homo sapiens	sodium voltage-gated channel alpha subunit 11(SCN11A)
P0C0A2	290851	Rattus norvegicus	vacuolar protein sorting 36(Vps36)
P53290	853072	Saccharomyces cerevisiae S288c	Gtr2p(GTR2)
E9Q7P9	268663	Mus musculus	cadherin-related family member 2(Cdhr2)
P15498	7409	Homo sapiens	vav guanine nucleotide exchange factor 1(VAV1)
Q9VYN8	32183	Drosophila melanogaster	Tenascin accessory(Ten-a)
P49760	1196	Homo sapiens	CDC like kinase 2(CLK2)
Q6P1U3	395019	Xenopus tropicalis	tudor domain containing 3(tdrd3)
P16356	177190	Caenorhabditis elegans	DNA-directed RNA polymerase II subunit RPB1(ama-1)
P78524	6764	Homo sapiens	suppression of tumorigenicity 5(ST5)
Q59SI5	3645589	Candida albicans SC5314	maintain mitochondrial shape(MMM1)
Q9UMS6	171024	Homo sapiens	synaptopodin 2(SYNPO2)
D3ZSI8	365865	Rattus norvegicus	"phosphatidylinositol-4-phosphate 5-kinase, type 1, alpha(Pip5k1a)"
Q811L6	328329	Mus musculus	microtubule associated serine/threonine kinase family member 4(Mast4)
Q8TF01	25957	Homo sapiens	PNN interacting serine and arginine rich protein(PNISR)
Q6DFV8	232585	Mus musculus	von Willebrand factor D and EGF domains(Vwde)
Q6XQH2	5848386	Cupixi mammarenavirus	polymerase(Cupixi_sLgp1)
Q747R4	2688372	Geobacter sulfurreducens PCA	protein glutamine deamidase and protein glutamate methylesterase CheD associated with MCPs of class 44H(cheD44H)
Q7LL04	2539234	Schizosaccharomyces pombe 972h-	iron/ascorbate oxidoreductase family(SPCC1494.01)
Q28DB5	549559	Xenopus tropicalis	glutamic pyruvate transaminase (alanine aminotransferase) 2(gpt2)
P51810	4935	Homo sapiens	G protein-coupled receptor 143(GPR143)
Q76LL6	225288	Mus musculus	formin homology 2 domain containing 3(Fhod3)
Q03897	851706	Saccharomyces cerevisiae S288c	Mtc5p(MTC5)
Q96AJ9	143187	Homo sapiens	vesicle transport through interaction with t-SNAREs 1A(VTI1A)
Q9JJG0	57752	Mus musculus	"transforming, acidic coiled-coil containing protein 2(Tacc2)"
E7FAM5	561754	Danio rerio	"tripartite motif containing 71, E3 ubiquitin protein ligase(trim71)"
Q6GP70	444167	Xenopus laevis	adenosine deaminase S homeolog(ada.S)
Q5BGN5	2876073	Aspergillus nidulans FGSC A4	hypothetical protein(AN0295.2)
Q7Z5A4	339906	Homo sapiens	"protease, serine 42(PRSS42)"
P0C6B8	685899	Rattus norvegicus	"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1(Svep1)"
Q8BXQ6	72061	Mus musculus	RIKEN cDNA 2010111I01 gene(2010111I01Rik)
Q1LV22	555595	Danio rerio	"family with sequence similarity 214, member A(fam214a)"
Q9KS45	2614048	Vibrio cholerae O1 biovar El Tor str. N16961	VgrG protein(VC1416)
Q9BXX0	84034	Homo sapiens	elastin microfibril interfacer 2(EMILIN2)
Q9NYT6	7769	Homo sapiens	zinc finger protein 226(ZNF226)
Q3BAI2	3741793	Phalaenopsis aphrodite subsp. formosana	ORF91(PhapfoPp090)
Q6JAN0	415105	Danio rerio	adhesion G protein-coupled receptor V1(adgrv1)
A2ASS6	22138	Mus musculus	titin(Ttn)
P53585	180485	Caenorhabditis elegans	Probable ATP-citrate synthase(acly-1)
A0JM56	780204	Xenopus tropicalis	leucine rich repeat containing 9(lrrc9)
Q8BFR5	233870	Mus musculus	"Tu translation elongation factor, mitochondrial(Tufm)"
A8K855	84455	Homo sapiens	EF-hand calcium binding domain 7(EFCAB7)
F4HRT5	843043	Arabidopsis thaliana	little nuclei1(LINC1)
Q8BZ20	243771	Mus musculus	"poly (ADP-ribose) polymerase family, member 12(Parp12)"
Q9HIA9	1456888	Thermoplasma acidophilum DSM 1728	2-phosphosulfolactate phosphatase(TA_RS07420)
P20749	602	Homo sapiens	B-cell CLL/lymphoma 3(BCL3)
Q503W7	368412	Danio rerio	"ATPase family, AAA domain containing 1b(atad1b)"
P08540	2897102	Kluyveromyces lactis NRRL Y-1140	hypothetical protein(KLLA0B14839g)
B2RX88	211660	Mus musculus	centrosome and spindle pole associated protein 1(Cspp1)
